,nombre,categoria,seccion,descripcion,dimensiones,imagen
3700,BAN45,Banqueta,Bar y cafetería  ,Banquetas tapa recta tapizada,38x30x35 (cm),https://atrezzovazquez.es/admin/img_prod/BAN45/BAN45-1-720x540.png
3701,BAU45,Baul,Almacenaje  Viaje  ,Baúl roble con asas y esquinas metal,65x33x34 (cm),https://atrezzovazquez.es/admin/img_prod/BAU45/BAU45-1-720x540.png
3702,CA45,Cama,Dormitorio  ,Cama de nogal medio punto con largueros tallados,150x190x149 (cm),https://atrezzovazquez.es/admin/img_prod/CA45/CA45-720x540.png
3703,CO45,Cocinas,Electrodomestico  ,Cocina de carbón de hierro blanca,60x54x81 (cm),https://atrezzovazquez.es/admin/img_prod/CO45/CO45-720x540.png
3704,COM45,Comoda,Comodín  Dormitorio  ,Comodín nogal columnas tapa mármol blanco,83x49x75 (cm),https://atrezzovazquez.es/admin/img_prod/COM45/COM45-1-720x540.png
3705,CON45,Consola,Japonés  Recibidor  ,Consola japonesa en negro,170x47x80 (cm),https://atrezzovazquez.es/admin/img_prod/CON45/CON45.bmp
3706,CU45,Cuadro,Bodegones y flores  ,Cuadro marco madera esquinas talladas lámina bodegón,107x10x73 (cm),https://atrezzovazquez.es/admin/img_prod/CU45/CU45-720x540.png
3707,ANU45,Carteles y anuncios,Bar y cafetería  ,Carteles cartón grabados de bebidas,10x1x10 (cm),https://atrezzovazquez.es/admin/img_prod/ANU45/ANU45-720x540.png
3708,ESP45,Espejo,Dormitorio  ,Espejo tríptico de mesa forma al aire,115x25x64 (cm),https://atrezzovazquez.es/admin/img_prod/ESP45/ESP45-720x540.png
3709,ES45,Estanteria,Despacho  ,Estantería de suelo baja varilla y sapeli,63x22x61 (cm),https://atrezzovazquez.es/admin/img_prod/ES45/ES45-1-720x540.png
3710,EST45,Estufa,Cubreradiador  Salón  ,Cubreradiador nogal tablitas,64x31x103 (cm),https://atrezzovazquez.es/admin/img_prod/EST45/EST45-720x540.png
3711,ESTAT45,Estatua,Religioso  Iglesia  ,Hornacina oscura con Virgen con niño,0x0x0 (cm),https://atrezzovazquez.es/admin/img_prod/ESTAT45/ESTAT45-720x540.png
3712,F45,Fichero,Despacho  ,Cajonera mesa negra 3 cajones,43x60x52 (cm),https://atrezzovazquez.es/admin/img_prod/F45/F45-720x540.png
3713,MUS45,Instrumentos musicales,Musica  ,Flauta de niño,1x1x1 (cm),https://atrezzovazquez.es/admin/img_prod/MUS45/MUS45 (INM32)-720x540.png
3714,ADO45,Adornos,Salón  ,Máscara fibra y gasa,1x1x1 (cm),https://atrezzovazquez.es/admin/img_prod/ADO45/ADO45-720x540.png
3715,DPT45,Deporte,Bicicleta  ,Bicicleta de niña azul,130x50x85 (cm),https://atrezzovazquez.es/admin/img_prod/DPT45/DPT45-720x540.png
3716,LAM45,Lámpara,Lámpara de mesa  Salón  ,Lámpara de mesa metal peana redonda,1x1x1 (cm),https://atrezzovazquez.es/admin/img_prod/LAM45/LAM45-720x540.png
3717,FUM45,Artículos de fumador,Cenicero  ,Ceniceros cristal tallado redondos diferentes,1x1x1 (cm),https://atrezzovazquez.es/admin/img_prod/FUM45/FUM45-720X540.png
3718,M45,Mesa,Auxiliar  Japonés  ,Mesa japonesa negra y roja,59x45x50 (cm),https://atrezzovazquez.es/admin/img_prod/M45/M45-1-720x540.png
3719,BYC45,Atrezzo de bar y cafetería,Bar y cafetería  ,Vasos cristal whisky,1x1x1 (cm),https://atrezzovazquez.es/admin/img_prod/BYC45/BYC45(BAR45-720x540).png
3720,COL45,Atrezzo colegio,Colegio  ,Reglas metálicas,1x1x1 (cm),https://atrezzovazquez.es/admin/img_prod/COL45/COL45-720x540.png
3721,DES45,Atrezzo despacho,Despacho  Máquinas de escribir  ,Máquina de escribir electrica Olivetti Lexicon 90 verde,1x1x1 (cm),https://atrezzovazquez.es/admin/img_prod/DES45/DES45-720x540.png
3722,BA45,Baño,Lavabo  ,Lavabo loza con 2 llaves y caño con pie,70x56x90 (cm),https://atrezzovazquez.es/admin/img_prod/BA45/BA45-1-720x540.png
3723,BEB45,Bebé,Descatalogado  ,,0x0x0 (cm),https://atrezzovazquez.es/admin/img_prod/BEB45/LOGOTIPO VAZQUEZ- 720x540.png
3724,CST45,Moda y costura,Máquinas de coser  ,Máquina de coser eléctrica SINGER con pie italiano,47x85x60 (cm),https://atrezzovazquez.es/admin/img_prod/CST45/CST45-720x540.png
3725,CRI45,Cristalería,Licoreras  ,Licorera cristal tallado tapón tallado.,1x1x1 (cm),https://atrezzovazquez.es/admin/img_prod/CRI45/CRI45-720x540.png
3726,MC45,Macetero,Jardín  Mimbre  ,Macetón redondo hierro y mimbre,38x38x40 (cm),https://atrezzovazquez.es/admin/img_prod/MC45/MC45-1-720x540.png
3727,ME45,Mesilla,Dormitorio  Inglesa  ,Mesilla inglesa raiz tapa marquetería,54x38x58 (cm),https://atrezzovazquez.es/admin/img_prod/ME45/ME45-1-720x540.png
3728,REL45,Reloj,Cocina  ,Reloj de pared de formica cuadrado esfera redonda,1x1x1 (cm),https://atrezzovazquez.es/admin/img_prod/REL45/REL45-720x540.png
3729,TEL45,Telefonía,,Teléfono público negro,0x0x0 (cm),https://atrezzovazquez.es/admin/img_prod/TEL45/TLF45-720x540.png
3730,MYN45,Maletas y neceseres de viaje,Viaje  ,Maleta antigua lona corinto rayas crema,75x45x25 (cm),https://atrezzovazquez.es/admin/img_prod/MYN45/MYN45-720x540.png
3731,JUG45,Juguetes,Juguete  ,Juego antiguo Las Mil Figuras con su caja,0x0x0 (cm),https://atrezzovazquez.es/admin/img_prod/JUG45/JUG45-720x540.png
3732,JAR45,Jarrones y jarras,Adorno  Decoración  Salón  ,Jarrón Talavera grande forma copa,0x0x0 (cm),https://atrezzovazquez.es/admin/img_prod/JAR45/JAR45-720x540.png
